Time da Casa,Time Visitante,Gols da Casa,Gols Visitante
Manchester United,Bayern Munich,1,2
Arsenal,RB Leipzig,5,0
RB Leipzig,Real Madrid,1,0
Sevilla,Chelsea,0,4
Real Madrid,AC Milan,0,4
AC Milan,Arsenal,5,4
Borussia Dortmund,Arsenal,0,0
Inter Milan,Sevilla,2,2
Chelsea,Borussia Dortmund,5,5
Real Madrid,Liverpool,1,5
Benfica,Napoli,1,5
Atlético de Madrid,Sevilla,5,0
Paris Saint-Germain,Sevilla,4,0
Lyon,Juventus,2,3
Borussia Dortmund,Manchester United,0,3
Sevilla,Liverpool,4,3
Paris Saint-Germain,Arsenal,5,5
Inter Milan,Bayern Munich,2,5
Tottenham Hotspur,Barcelona,2,0
Arsenal,AC Milan,1,0
Lyon,Borussia Dortmund,0,3
RB Leipzig,Atlético de Madrid,1,2
Lyon,AC Milan,0,2
Borussia Dortmund,Benfica,5,1
Arsenal,Tottenham Hotspur,5,3
Benfica,Paris Saint-Germain,5,4
Manchester United,Barcelona,3,1
RB Leipzig,Atlético de Madrid,0,3
Napoli,Benfica,2,0
Tottenham Hotspur,Napoli,1,4
Sevilla,Juventus,3,3
Inter Milan,Manchester City,3,3
Real Madrid,Manchester United,1,3
Manchester United,RB Leipzig,4,2
Barcelona,Manchester City,2,5
Manchester City,Inter Milan,5,1
Lyon,Paris Saint-Germain,3,5
AC Milan,Manchester United,2,0
Inter Milan,Juventus,3,0
Liverpool,Napoli,5,4
Bayern Munich,Atlético de Madrid,1,0
AC Milan,Tottenham Hotspur,2,3
Bayern Munich,Real Madrid,0,5
Lyon,Napoli,4,5
Tottenham Hotspur,Liverpool,3,2
Napoli,Benfica,1,5
Arsenal,RB Leipzig,0,3
RB Leipzig,AC Milan,4,4
Paris Saint-Germain,Inter Milan,0,0
Liverpool,Chelsea,2,5
RB Leipzig,Real Madrid,2,2
Juventus,Benfica,4,4
Manchester City,Real Madrid,1,0
Real Madrid,Manchester United,0,0
Lyon,Barcelona,1,3
Sevilla,Real Madrid,5,3
Arsenal,Real Madrid,4,3
Manchester United,Bayern Munich,2,3
Paris Saint-Germain,Manchester City,2,2
Arsenal,Liverpool,1,5
Bayern Munich,Tottenham Hotspur,3,4
Bayern Munich,Lyon,4,1
Juventus,Manchester United,0,5
Inter Milan,Real Madrid,4,0
Real Madrid,Juventus,2,0
Atlético de Madrid,Tottenham Hotspur,5,3
Atlético de Madrid,Napoli,0,1
RB Leipzig,Napoli,1,4
Real Madrid,Arsenal,2,4
AC Milan,Benfica,1,0
Napoli,Liverpool,5,4
Manchester City,RB Leipzig,4,5
Atlético de Madrid,AC Milan,2,3
Paris Saint-Germain,Manchester United,3,3
AC Milan,Tottenham Hotspur,0,1
Benfica,Real Madrid,4,2
Liverpool,Inter Milan,5,3
Barcelona,Tottenham Hotspur,1,1
Sevilla,Juventus,0,2
Borussia Dortmund,AC Milan,3,1
AC Milan,Paris Saint-Germain,1,4
Barcelona,Benfica,2,2
Real Madrid,Paris Saint-Germain,2,0
Liverpool,AC Milan,5,4
Chelsea,RB Leipzig,2,1
Paris Saint-Germain,Barcelona,1,4
Borussia Dortmund,AC Milan,5,2
Arsenal,Inter Milan,2,2
Liverpool,RB Leipzig,2,2
Manchester City,Manchester United,2,1
Bayern Munich,Manchester United,5,5
Liverpool,Sevilla,0,3
Chelsea,Arsenal,2,0
Barcelona,Atlético de Madrid,4,1
Bayern Munich,Benfica,3,5
Liverpool,Real Madrid,0,5
Liverpool,Sevilla,1,3
RB Leipzig,Tottenham Hotspur,1,3
Barcelona,Atlético de Madrid,1,1
Napoli,Liverpool,3,5
Inter Milan,Atlético de Madrid,4,3
Benfica,RB Leipzig,2,5
Manchester United,AC Milan,0,5
Barcelona,Liverpool,5,1
Liverpool,Inter Milan,0,3
Arsenal,Real Madrid,0,2
Chelsea,Juventus,0,1
