timestamp,cidade,temperatura
2025-05-14T10:00:00Z,Porto Alegre,41
2025-05-14T10:00:05Z,São Paulo,40
2025-05-14T10:00:10Z,Salvador,24
2025-05-14T10:00:15Z,Porto Alegre,44
2025-05-14T10:00:20Z,São Paulo,17
2025-05-14T10:00:25Z,Porto Alegre,41
2025-05-14T10:00:30Z,Curitiba,33
2025-05-14T10:00:35Z,Curitiba,43
2025-05-14T10:00:40Z,Belo Horizonte,37
2025-05-14T10:00:45Z,Belo Horizonte,44
2025-05-14T10:00:50Z,Fortaleza,27
2025-05-14T10:00:55Z,Belo Horizonte,28
2025-05-14T10:01:00Z,São Paulo,27
2025-05-14T10:01:05Z,São Paulo,30
2025-05-14T10:01:10Z,Curitiba,30
2025-05-14T10:01:15Z,Porto Alegre,27
2025-05-14T10:01:20Z,São Paulo,18
2025-05-14T10:01:25Z,Curitiba,20
2025-05-14T10:01:30Z,Porto Alegre,43
2025-05-14T10:01:35Z,São Paulo,43
2025-05-14T10:01:40Z,Salvador,39
2025-05-14T10:01:45Z,São Paulo,32
2025-05-14T10:01:50Z,Porto Alegre,36
2025-05-14T10:01:55Z,Fortaleza,20
2025-05-14T10:02:00Z,São Paulo,31
2025-05-14T10:02:05Z,Salvador,25
2025-05-14T10:02:10Z,São Paulo,38
2025-05-14T10:02:15Z,São Paulo,23
2025-05-14T10:02:20Z,Belo Horizonte,26
2025-05-14T10:02:25Z,Curitiba,18
2025-05-14T10:02:30Z,São Paulo,15
2025-05-14T10:02:35Z,Porto Alegre,23
2025-05-14T10:02:40Z,Porto Alegre,32
2025-05-14T10:02:45Z,Fortaleza,44
2025-05-14T10:02:50Z,Fortaleza,44
2025-05-14T10:02:55Z,Porto Alegre,35
2025-05-14T10:03:00Z,Porto Alegre,37
2025-05-14T10:03:05Z,São Paulo,41
2025-05-14T10:03:10Z,Fortaleza,24
2025-05-14T10:03:15Z,Rio de Janeiro,30
2025-05-14T10:03:20Z,Porto Alegre,25
2025-05-14T10:03:25Z,Porto Alegre,40
2025-05-14T10:03:30Z,Curitiba,21
2025-05-14T10:03:35Z,Curitiba,21
2025-05-14T10:03:40Z,Salvador,41
2025-05-14T10:03:45Z,Rio de Janeiro,32
2025-05-14T10:03:50Z,Curitiba,16
2025-05-14T10:03:55Z,Porto Alegre,28
2025-05-14T10:04:00Z,Curitiba,30
2025-05-14T10:04:05Z,Rio de Janeiro,28
2025-05-14T10:04:10Z,Rio de Janeiro,38
2025-05-14T10:04:15Z,Belo Horizonte,42
2025-05-14T10:04:20Z,São Paulo,22
2025-05-14T10:04:25Z,Rio de Janeiro,40
2025-05-14T10:04:30Z,São Paulo,16
2025-05-14T10:04:35Z,Porto Alegre,24
2025-05-14T10:04:40Z,Belo Horizonte,38
2025-05-14T10:04:45Z,Salvador,19
2025-05-14T10:04:50Z,Fortaleza,18
2025-05-14T10:04:55Z,Porto Alegre,32
2025-05-14T10:05:00Z,Salvador,42
2025-05-14T10:05:05Z,Salvador,18
2025-05-14T10:05:10Z,Curitiba,27
2025-05-14T10:05:15Z,Salvador,23
2025-05-14T10:05:20Z,Porto Alegre,24
2025-05-14T10:05:25Z,São Paulo,18
2025-05-14T10:05:30Z,Salvador,18
2025-05-14T10:05:35Z,Fortaleza,33
2025-05-14T10:05:40Z,Porto Alegre,23
2025-05-14T10:05:45Z,Fortaleza,26
2025-05-14T10:05:50Z,Salvador,17
2025-05-14T10:05:55Z,Salvador,30
2025-05-14T10:06:00Z,Fortaleza,29
2025-05-14T10:06:05Z,Rio de Janeiro,37
2025-05-14T10:06:10Z,Curitiba,22
2025-05-14T10:06:15Z,Salvador,32
2025-05-14T10:06:20Z,Salvador,34
2025-05-14T10:06:25Z,Salvador,39
2025-05-14T10:06:30Z,Porto Alegre,32
2025-05-14T10:06:35Z,Curitiba,15
2025-05-14T10:06:40Z,Salvador,28
2025-05-14T10:06:45Z,Curitiba,42
2025-05-14T10:06:50Z,São Paulo,42
2025-05-14T10:06:55Z,Porto Alegre,22
2025-05-14T10:07:00Z,Fortaleza,40
2025-05-14T10:07:05Z,Curitiba,16
2025-05-14T10:07:10Z,Fortaleza,35
2025-05-14T10:07:15Z,Curitiba,39
2025-05-14T10:07:20Z,Porto Alegre,37
2025-05-14T10:07:25Z,Porto Alegre,40
2025-05-14T10:07:30Z,Curitiba,32
2025-05-14T10:07:35Z,Belo Horizonte,19
2025-05-14T10:07:40Z,Curitiba,31
2025-05-14T10:07:45Z,Curitiba,40
2025-05-14T10:07:50Z,Curitiba,32
2025-05-14T10:07:55Z,São Paulo,15
2025-05-14T10:08:00Z,São Paulo,30
2025-05-14T10:08:05Z,Fortaleza,38
2025-05-14T10:08:10Z,Curitiba,24
2025-05-14T10:08:15Z,Belo Horizonte,18
2025-05-14T10:08:20Z,Belo Horizonte,28
2025-05-14T10:08:25Z,Salvador,36
2025-05-14T10:08:30Z,Rio de Janeiro,41
2025-05-14T10:08:35Z,Belo Horizonte,26
2025-05-14T10:08:40Z,Rio de Janeiro,43
2025-05-14T10:08:45Z,Belo Horizonte,15
2025-05-14T10:08:50Z,Fortaleza,31
2025-05-14T10:08:55Z,Fortaleza,43
2025-05-14T10:09:00Z,Salvador,33
2025-05-14T10:09:05Z,Porto Alegre,17
2025-05-14T10:09:10Z,Fortaleza,22
2025-05-14T10:09:15Z,Belo Horizonte,17
2025-05-14T10:09:20Z,São Paulo,34
2025-05-14T10:09:25Z,Salvador,43
2025-05-14T10:09:30Z,Porto Alegre,22
2025-05-14T10:09:35Z,Porto Alegre,33
2025-05-14T10:09:40Z,Salvador,31
2025-05-14T10:09:45Z,São Paulo,34
2025-05-14T10:09:50Z,Fortaleza,41
2025-05-14T10:09:55Z,Rio de Janeiro,32
2025-05-14T10:10:00Z,Rio de Janeiro,26
2025-05-14T10:10:05Z,Porto Alegre,38
2025-05-14T10:10:10Z,Curitiba,24
2025-05-14T10:10:15Z,Belo Horizonte,19
2025-05-14T10:10:20Z,Porto Alegre,27
2025-05-14T10:10:25Z,Curitiba,36
2025-05-14T10:10:30Z,Belo Horizonte,26
2025-05-14T10:10:35Z,São Paulo,40
2025-05-14T10:10:40Z,Belo Horizonte,22
2025-05-14T10:10:45Z,São Paulo,32
2025-05-14T10:10:50Z,Curitiba,41
2025-05-14T10:10:55Z,São Paulo,29
2025-05-14T10:11:00Z,Curitiba,38
2025-05-14T10:11:05Z,Belo Horizonte,29
2025-05-14T10:11:10Z,Fortaleza,23
2025-05-14T10:11:15Z,Fortaleza,39
2025-05-14T10:11:20Z,São Paulo,27
2025-05-14T10:11:25Z,São Paulo,42
2025-05-14T10:11:30Z,Curitiba,35
2025-05-14T10:11:35Z,Porto Alegre,39
2025-05-14T10:11:40Z,Salvador,42
2025-05-14T10:11:45Z,Rio de Janeiro,33
2025-05-14T10:11:50Z,Rio de Janeiro,41
2025-05-14T10:11:55Z,Fortaleza,34
2025-05-14T10:12:00Z,Fortaleza,27
2025-05-14T10:12:05Z,Fortaleza,28
2025-05-14T10:12:10Z,Salvador,39
2025-05-14T10:12:15Z,Rio de Janeiro,41
2025-05-14T10:12:20Z,Belo Horizonte,18
2025-05-14T10:12:25Z,Rio de Janeiro,31
2025-05-14T10:12:30Z,Belo Horizonte,22
2025-05-14T10:12:35Z,Rio de Janeiro,43
2025-05-14T10:12:40Z,Rio de Janeiro,17
2025-05-14T10:12:45Z,Salvador,29
2025-05-14T10:12:50Z,Fortaleza,38
2025-05-14T10:12:55Z,Porto Alegre,28
