nome,idade
Daniela,24
Fernanda,19
Helena,38
Carlos,43
Eduardo,59
Helena,37
Fernanda,54
Eduardo,50
Bruno,19
Carlos,23
Bruno,35
Gabriel,36
Fernanda,21
Fernanda,33
Eduardo,48
Eduardo,38
Gabriel,65
Carlos,21
Fernanda,35
Helena,41
Fernanda,33
Carlos,36
Eduardo,23
Helena,28
Fernanda,64
Gabriel,60
Bruno,31
Ana,36
Fernanda,46
Eduardo,45
Daniela,18
Bruno,63
Bruno,22
Ana,42
Ana,54
Gabriel,48
Fernanda,60
Gabriel,49
Helena,50
Carlos,30
Helena,48
Gabriel,55
Bruno,38
Carlos,61
Gabriel,61
Carlos,45
Bruno,61
Gabriel,65
Fernanda,33
Bruno,23
Carlos,61
Gabriel,35
Eduardo,47
Eduardo,18
Daniela,36
Daniela,37
Ana,35
Daniela,49
Helena,18
Eduardo,22
Gabriel,24
Carlos,38
Carlos,31
Daniela,54
Helena,60
Bruno,21
Gabriel,38
Daniela,58
Eduardo,19
Carlos,47
Eduardo,28
Gabriel,63
Daniela,56
Eduardo,53
Daniela,46
Bruno,28
Gabriel,61
Daniela,33
Eduardo,48
Helena,33
Carlos,41
Gabriel,20
Daniela,24
Ana,33
Gabriel,27
Carlos,63
Eduardo,35
Daniela,18
Carlos,62
Carlos,60
Helena,35
Ana,23
Helena,20
Gabriel,30
Eduardo,61
Carlos,65
Gabriel,63
Eduardo,57
Gabriel,64
Bruno,35
Daniela,22
Fernanda,34
Carlos,64
Ana,25
Bruno,48
Daniela,47
Gabriel,34
Carlos,50
Carlos,51
Helena,31
Daniela,22
Helena,53
Eduardo,46
Gabriel,27
Carlos,27
Carlos,27
Daniela,41
Bruno,54
Fernanda,26
Eduardo,37
Carlos,63
Carlos,29
Daniela,18
Eduardo,57
Bruno,50
Carlos,48
Daniela,28
Bruno,47
Carlos,48
Fernanda,63
Carlos,60
Ana,27
Daniela,31
Helena,31
Daniela,19
Carlos,61
Carlos,37
Bruno,65
Fernanda,21
Helena,41
Gabriel,45
Carlos,50
Bruno,58
Ana,18
Eduardo,56
Fernanda,22
Gabriel,59
Daniela,47
Eduardo,48
Ana,22
Fernanda,56
Fernanda,27
Ana,44
Ana,44
Eduardo,21
Eduardo,26
Eduardo,26
Eduardo,42
Gabriel,27
Helena,58
Bruno,44
Helena,38
Ana,56
Daniela,54
Helena,56
Ana,55
Bruno,55
Bruno,25
Fernanda,49
Gabriel,56
Carlos,44
Helena,22
Gabriel,56
Eduardo,57
Helena,27
Fernanda,54
Gabriel,58
Eduardo,24
Bruno,50
Daniela,22
Eduardo,50
Gabriel,64
Eduardo,42
Fernanda,46
Helena,20
Fernanda,18
Bruno,49
Bruno,23
Ana,24
Ana,55
Daniela,36
Carlos,52
Ana,64
Fernanda,53
Bruno,57
Ana,25
Eduardo,44
Gabriel,57
Fernanda,39
Gabriel,47
