usuario_id,valor,data
43941,21.59,2024-05-18
19357,29.12,2024-02-25
31964,135.97,2024-08-29
46054,74.35,2024-04-23
10709,19.13,2024-04-14
5230,90.82,2024-01-12
10975,11.17,2024-03-09
45952,108.55,2024-11-06
23602,122.44,2024-12-09
44315,144.44,2024-12-11
40802,57.45,2024-10-02
3376,18.88,2024-04-28
27950,54.79,2024-09-08
8953,73.13,2024-02-13
44716,131.56,2024-12-09
49268,73.78,2024-05-28
22826,36.43,2024-11-08
9974,49.48,2024-10-26
12353,63.03,2024-05-18
2533,72.61,2024-01-26
32061,27.59,2024-05-25
21498,60.63,2024-01-31
19951,106.12,2024-04-04
4642,40.47,2024-11-20
29224,111.3,2024-10-21
19330,54.45,2024-11-07
2468,24.14,2024-07-30
15849,58.58,2024-04-25
36259,36.95,2024-03-13
23929,45.5,2024-12-01
5526,52.76,2024-07-01
18568,145.91,2024-03-30
21655,110.53,2024-06-25
49730,78.6,2024-07-13
6539,148.05,2024-09-16
12348,32.17,2024-09-29
32885,12.26,2024-10-07
10943,14.44,2024-02-06
19079,105.11,2024-03-17
42239,50.57,2024-08-28
22343,45.18,2024-08-15
10158,51.78,2024-10-14
4604,62.73,2024-07-10
13652,22.58,2024-06-26
27300,92.29,2024-03-17
13919,113.49,2024-04-11
11978,44.63,2024-12-27
10899,125.89,2024-01-23
19683,123.91,2024-12-04
37997,130.76,2024-01-17
1724,66.17,2024-06-26
49810,73.49,2024-12-15
24743,71.54,2024-03-02
46746,57.79,2024-05-27
39757,90.38,2024-01-07
37958,102.17,2024-05-23
32198,32.08,2024-05-26
12076,88.97,2024-01-08
24386,68.27,2024-10-30
3068,53.32,2024-04-10
6984,113.24,2024-07-01
44218,16.56,2024-06-26
4644,24.49,2024-05-01
48912,59.57,2024-04-02
28940,70.87,2024-11-01
16889,21.1,2024-04-13
9293,56.43,2024-09-09
43506,47.83,2024-12-31
38993,59.78,2024-06-24
3173,62.12,2024-11-30
41708,14.82,2024-02-18
14567,46.86,2024-06-29
33654,19.19,2024-04-10
7451,137.44,2024-07-09
44985,39.01,2024-05-08
37928,136.54,2024-05-18
16350,149.06,2024-09-30
26464,127.3,2024-11-25
48695,87.71,2024-01-14
20335,138.28,2024-03-28
38778,142.84,2024-08-11
6353,69.66,2024-12-07
46241,44.5,2024-11-19
3812,100.61,2024-07-24
17738,71.54,2024-01-13
31763,84.93,2024-12-15
47931,111.39,2024-04-13
45000,64.42,2024-08-23
17412,127.47,2024-11-05
22243,39.56,2024-04-07
10553,36.66,2024-11-13
17635,114.14,2024-03-17
5617,134.59,2024-01-15
6731,58.82,2024-01-22
7093,89.07,2024-09-30
33572,86.88,2024-01-02
7532,117.01,2024-10-22
33834,24.88,2024-12-17
5232,123.37,2024-12-23
6301,32.97,2024-10-17
10842,89.26,2024-03-06
21573,81.52,2024-12-17
38690,37.83,2024-03-01
36110,98.54,2024-11-13
25735,15.51,2024-12-18
27889,118.17,2024-09-25
24596,63.75,2024-08-28
41786,63.76,2024-10-24
19592,83.95,2024-10-13
41060,75.3,2024-10-28
46187,138.82,2024-01-20
9564,68.53,2024-03-03
11886,76.44,2024-08-20
13135,34.3,2024-04-23
10583,84.47,2024-07-12
32852,112.36,2024-09-08
42793,113.48,2024-05-14
27109,88.34,2024-01-28
20683,96.73,2024-10-28
44630,23.0,2024-08-25
45431,144.82,2024-12-08
22543,69.31,2024-08-28
44558,21.58,2024-12-17
32181,19.36,2024-02-16
34655,106.02,2024-01-07
22578,11.13,2024-05-08
43824,134.06,2024-10-15
10058,63.37,2024-10-26
44835,97.33,2024-05-07
1830,147.8,2024-04-24
6388,134.99,2024-09-28
2829,91.7,2024-12-27
11368,13.7,2024-11-02
31612,42.8,2024-03-01
13661,17.57,2024-03-17
15449,81.05,2024-06-09
3259,111.2,2024-04-04
19532,90.46,2024-04-15
12062,92.56,2024-03-16
29126,48.74,2024-05-01
45179,80.1,2024-11-21
33498,57.47,2024-01-22
1438,79.36,2024-03-01
42771,97.85,2024-03-06
14987,116.78,2024-03-27
37398,104.04,2024-12-01
47170,148.33,2024-11-03
33450,43.26,2024-07-18
3460,134.39,2024-06-27
8886,42.5,2024-07-07
32371,103.9,2024-01-30
5047,131.65,2024-01-24
26002,71.15,2024-12-10
16937,143.9,2024-12-06
3715,149.14,2024-05-20
2890,59.51,2024-07-25
28555,18.01,2024-08-06
7235,85.44,2024-01-02
3231,66.99,2024-09-28
40887,78.93,2024-04-15
3138,84.13,2024-05-26
46692,130.06,2024-04-06
8142,30.38,2024-07-09
49183,74.29,2024-07-18
1437,116.23,2024-08-23
4012,49.46,2024-05-17
47708,128.69,2024-05-17
12081,58.62,2024-10-16
22768,147.83,2024-03-23
39380,106.1,2024-09-05
13405,82.47,2024-04-29
22775,96.88,2024-02-10
9044,24.92,2024-03-27
38547,49.64,2024-10-10
39536,123.25,2024-09-09
39418,83.73,2024-07-25
36778,46.79,2024-07-29
38494,122.71,2024-08-28
28287,130.39,2024-03-22
11139,72.3,2024-12-05
11728,12.83,2024-08-13
47181,13.46,2024-06-09
3796,108.92,2024-08-23
28733,112.12,2024-09-21
9488,69.14,2024-05-11
43931,97.35,2024-08-03
9764,120.66,2024-05-22
42243,13.64,2024-11-04
44889,66.93,2024-10-24
47585,76.43,2024-05-15
37952,85.61,2024-10-15
49153,94.02,2024-01-30
11577,94.34,2024-07-31
22878,66.65,2024-01-12
8876,63.37,2024-06-17
34500,146.29,2024-10-01
32183,60.58,2024-12-31
2392,133.12,2024-04-15
7019,45.28,2024-08-20
13298,22.78,2024-10-09
2434,76.29,2024-07-11
46544,143.32,2024-12-06
27295,135.7,2024-11-25
25839,51.68,2024-04-25
39965,10.89,2024-07-10
26653,45.09,2024-05-06
41074,46.27,2024-08-19
23672,125.59,2024-10-19
48314,24.49,2024-07-25
48637,15.23,2024-01-17
35271,116.13,2024-01-21
13388,96.61,2024-12-23
10194,129.74,2024-02-10
20652,65.93,2024-04-28
19050,147.93,2024-05-28
37715,130.81,2024-06-06
47791,131.69,2024-03-26
12103,76.81,2024-05-28
4379,60.4,2024-03-28
47074,81.86,2024-03-04
801,103.4,2024-06-30
38246,137.79,2024-02-06
427,131.59,2024-11-23
4393,122.13,2024-02-03
5889,75.55,2024-07-29
27047,39.86,2024-08-26
33515,115.03,2024-03-31
26025,24.86,2024-07-02
7046,65.33,2024-04-10
3509,140.02,2024-12-27
7855,10.5,2024-01-13
37481,43.26,2024-01-01
10506,124.54,2024-03-27
37531,132.16,2024-01-26
32108,126.31,2024-09-12
28144,66.73,2024-02-04
43178,118.83,2024-08-22
47329,78.75,2024-08-28
38738,133.01,2024-03-17
31778,32.25,2024-12-10
15159,14.07,2024-11-08
30130,104.06,2024-11-20
21250,73.81,2024-02-07
39961,59.82,2024-02-03
32666,46.36,2024-06-04
42099,115.59,2024-11-04
40754,137.35,2024-12-27
31717,100.57,2024-07-19
29901,19.37,2024-12-10
44623,124.98,2024-11-24
3114,40.09,2024-09-30
35957,140.18,2024-09-25
26073,45.89,2024-04-23
44459,98.25,2024-03-01
6439,79.41,2024-01-10
45268,37.25,2024-04-18
3064,121.38,2024-02-12
18164,24.43,2024-02-18
40950,72.84,2024-04-29
21739,85.19,2024-08-21
