data,origem,destino,volume_toneladas,tipo_carga
2024-04-07,Campinas,Sorocaba,16.8,Comum
2024-04-04,São Paulo,São José do Rio Preto,20.8,Tóxica
2024-04-05,Campinas,São José do Rio Preto,15.7,Comum
2024-04-07,Campinas,São Paulo,22.9,Inflamável
2024-04-03,Ribeirão Preto,São Paulo,34.3,Tóxica
2024-04-05,Ribeirão Preto,São José do Rio Preto,34.9,Inflamável
2024-04-05,Sorocaba,Ribeirão Preto,28.2,Tóxica
2024-04-07,São Paulo,Ribeirão Preto,17.1,Inflamável
2024-04-02,Campinas,São Paulo,19.8,Inflamável
2024-04-03,São Paulo,Campinas,15.7,Inflamável
2024-04-03,Campinas,Sorocaba,26.2,Inflamável
2024-04-03,São Paulo,Ribeirão Preto,18.5,Tóxica
2024-04-05,Sorocaba,Campinas,5.4,Comum
2024-04-04,Sorocaba,Ribeirão Preto,20.6,Inflamável
2024-04-05,Sorocaba,São José do Rio Preto,10.5,Inflamável
2024-04-02,Sorocaba,São José do Rio Preto,5.7,Tóxica
2024-04-04,São José do Rio Preto,São Paulo,15.6,Inflamável
2024-04-06,São Paulo,Campinas,32.5,Tóxica
2024-04-02,Ribeirão Preto,Sorocaba,33.4,Tóxica
2024-04-04,Sorocaba,São José do Rio Preto,26.9,Inflamável
2024-04-05,São Paulo,Sorocaba,21.7,Comum
2024-04-01,São Paulo,Ribeirão Preto,22.7,Inflamável
2024-04-02,Ribeirão Preto,Campinas,26.2,Comum
2024-04-06,São Paulo,Campinas,17.6,Tóxica
2024-04-05,São José do Rio Preto,Ribeirão Preto,25.1,Inflamável
2024-04-04,Ribeirão Preto,São Paulo,8.6,Inflamável
2024-04-01,São José do Rio Preto,Campinas,30.1,Tóxica
2024-04-03,Sorocaba,Campinas,32.1,Tóxica
2024-04-03,São José do Rio Preto,Campinas,21.2,Comum
2024-04-07,São José do Rio Preto,Sorocaba,5.9,Comum
2024-04-02,Sorocaba,São Paulo,32.8,Tóxica
2024-04-04,Sorocaba,Ribeirão Preto,26.1,Tóxica
2024-04-04,Sorocaba,Campinas,17.4,Comum
2024-04-07,Sorocaba,São José do Rio Preto,23.0,Tóxica
2024-04-06,Sorocaba,São Paulo,17.9,Tóxica
2024-04-07,Campinas,São Paulo,31.6,Tóxica
2024-04-04,Campinas,São Paulo,5.1,Tóxica
2024-04-01,Sorocaba,São José do Rio Preto,11.6,Inflamável
2024-04-03,Campinas,São José do Rio Preto,15.0,Tóxica
2024-04-07,São José do Rio Preto,São Paulo,5.9,Tóxica
2024-04-05,São Paulo,Sorocaba,23.2,Comum
2024-04-01,Sorocaba,Campinas,22.1,Tóxica
2024-04-07,Ribeirão Preto,Campinas,7.9,Inflamável
2024-04-02,São Paulo,Ribeirão Preto,22.9,Comum
2024-04-04,São Paulo,Sorocaba,35.0,Inflamável
2024-04-01,São José do Rio Preto,São Paulo,33.3,Tóxica
2024-04-04,Campinas,Ribeirão Preto,5.1,Tóxica
2024-04-06,Sorocaba,Ribeirão Preto,28.9,Comum
2024-04-02,Ribeirão Preto,Campinas,15.6,Tóxica
2024-04-02,São Paulo,São José do Rio Preto,6.9,Inflamável
2024-04-01,Ribeirão Preto,São Paulo,13.9,Inflamável
2024-04-02,Campinas,Sorocaba,14.7,Inflamável
2024-04-05,Campinas,Ribeirão Preto,20.7,Inflamável
2024-04-02,Ribeirão Preto,São Paulo,24.8,Tóxica
2024-04-04,Sorocaba,Campinas,27.5,Inflamável
2024-04-04,Campinas,Ribeirão Preto,12.4,Inflamável
2024-04-04,São Paulo,Campinas,14.3,Tóxica
2024-04-07,Ribeirão Preto,Campinas,15.9,Inflamável
2024-04-04,Ribeirão Preto,Campinas,35.0,Inflamável
2024-04-05,São José do Rio Preto,São Paulo,28.3,Tóxica
2024-04-07,Campinas,São Paulo,34.2,Inflamável
2024-04-03,Sorocaba,São Paulo,25.8,Tóxica
2024-04-06,Sorocaba,São José do Rio Preto,17.2,Comum
2024-04-01,São José do Rio Preto,Ribeirão Preto,16.7,Inflamável
